organism_name,description
Panax japonicus,"Panax japonicus, Perennial herbaceous plant native to East Asia. Commonly known as Japanese ginseng, it is used in traditional medicine."
Amaranthus tricolor,"Amaranthus tricolor, Annual herbaceous plant cultivated for its edible leaves. Commonly known as Joseph's coat, it is used in some cuisines."
Cardiospermum halicacabum,"Cardiospermum halicacabum, Perennial herbaceous plant native to tropical regions. Commonly known as balloon vine, it produces small capsules resembling balloons."
Salix viminalis,"Salix viminalis, Deciduous shrub native to Europe and Asia. Commonly known as common osier, it is used in basket weaving."
Mentha longifolia,"Mentha longifolia, Perennial herbaceous plant native to Europe and Asia. Commonly known as horse mint, it is used in herbal medicine and culinary applications."
Echium plantagineum,"Echium plantagineum, Annual or biennial herbaceous plant native to Europe. Commonly known as purple viper's bugloss, it is grown for its blue flowers."
Lemna minuta,"Lemna minuta, Aquatic perennial herb found worldwide. Commonly known as duckweed, it is a floating plant often found in ponds."
Macadamia integrifolia,"Macadamia integrifolia, Evergreen tree native to Australia. Commonly known as smooth-shelled macadamia, it produces edible nuts."
Alloteropsis semialata,"Alloteropsis semialata, Perennial grass species native to Africa, Asia, and Australia. Commonly known as African lovegrass, it is used for forage."
Arachis ipaensis,"Arachis ipaensis, Perennial herbaceous plant native to South America. Commonly known as wild peanut, it is a wild relative of cultivated peanut."
Abrus pulchellus subsp. cantoniensis,"Abrus pulchellus subsp. cantoniensis, Perennial herbaceous plant native to East Asia. Commonly known as lucky bean, it produces small seeds used in jewelry."
Taxus wallichiana var. yunnanensis,"Taxus wallichiana var. yunnanensis, Evergreen tree native to East Asia. Commonly known as Himalayan yew, it is valued for its timber and taxol production."
Artemisia tridentata subsp. tridentata,"Artemisia tridentata subsp. tridentata, Evergreen shrub native to North America. Commonly known as big sagebrush, it is important in arid ecosystems."
Bromus sterilis,"Bromus sterilis, Annual or biennial grass native to Eurasia. Commonly known as barren brome, it is considered a weed in some regions."
Smallanthus sonchifolius,"Smallanthus sonchifolius, Perennial herbaceous plant native to South America. Commonly known as yacon, it is grown for its tuberous roots."
Bretschneidera sinensis,"Bretschneidera sinensis, Deciduous tree native to China. Commonly known as bretschneidera, it is valued for its ornamental flowers."
Cornus controversa,"Cornus controversa, Deciduous tree native to East Asia. Commonly known as wedding cake tree, it is valued for its tiered branches."
Cupressus sempervirens,"Cupressus sempervirens, Evergreen tree native to the eastern Mediterranean. Commonly known as Mediterranean cypress, it is planted for ornamental purposes."
Asclepias syriaca,"Asclepias syriaca, Perennial herbaceous plant native to North America. Commonly known as common milkweed, it is a host plant for monarch butterflies."
Silene conica,"Silene conica, Annual or biennial herbaceous plant native to Europe and Asia. Commonly known as sand catchfly, it is grown for its pink flowers."
Ilex aquifolium,"Ilex aquifolium, Evergreen tree native to Europe. Commonly known as English holly, it is valued for its distinctive foliage and berries."
Rhodamnia argentea,"Rhodamnia argentea, Evergreen tree native to Southeast Asia. Commonly known as pink rhodamnia, it is valued for its timber."
Trapa incisa,"Trapa incisa, Aquatic perennial herbaceous plant native to East Asia. Commonly known as Jesuit's nut, it produces nut-like fruits."
Forsythia viridissima,"Forsythia viridissima, Deciduous shrub native to East Asia. Commonly known as forsythia, it is valued for its yellow flowers."
Vitis cinerea var. helleri x Vitis rupestris,"Vitis cinerea var. helleri x Vitis rupestris, Deciduous vine cultivated for grape production. It is a hybrid variety."
Dysphania ambrosioides,"Dysphania ambrosioides, Perennial herbaceous plant native to North and South America. Commonly known as epazote, it is used in culinary applications."
Hedera helix,"Hedera helix, Evergreen woody vine native to Europe and Asia. Commonly known as common ivy, it is grown for its climbing habit."
Linaria vulgaris,"Linaria vulgaris, Perennial herbaceous plant native to Europe and Asia. Commonly known as common toadflax, it is grown for its yellow flowers."
Carex myosuroides,"Carex myosuroides, Perennial herbaceous plant native to Europe. Commonly known as velvet grass, it is used in some traditional medicines."
Juglans microcarpa x Juglans regia,"Juglans microcarpa x Juglans regia, Deciduous tree. It is a hybrid between little walnut and Persian walnut."
Ensete glaucum,"Ensete glaucum, Perennial herbaceous plant native to Southeast Asia. Commonly known as snow banana, it is cultivated for its starchy rhizomes."
Salix brachista,"Salix brachista, Deciduous shrub native to Central Asia. Commonly known as meadow willow, it is used in basketry."
Malus sylvestris,"Malus sylvestris, Deciduous tree native to Europe. Commonly known as European crab apple, it is a wild relative of cultivated apples."
Quercus glauca,"Quercus glauca, Evergreen tree native to East Asia. Commonly known as ring-cupped oak, it is valued for its timber."
Erythroxylum novogranatense,"Erythroxylum novogranatense, Evergreen shrub native to South America. Commonly known as coca plant, it is the source of cocaine."
Leonurus japonicus,"Leonurus japonicus, Perennial herbaceous plant native to East Asia. Commonly known as motherwort, it is used in traditional medicine."
Brasenia schreberi,"Brasenia schreberi, Perennial herbaceous plant native to North America. Commonly known as watershield, it is an aquatic plant."
Typha latifolia,"Typha latifolia, Perennial herbaceous plant native to North America. Commonly known as common cattail, it is found in wetlands."
Malus x robusta,"Malus x robusta, Deciduous tree. It is a hybrid between crab apple and another apple species."
Hordeum marinum,"Hordeum marinum, Annual or perennial grass native to Europe. Commonly known as marine barley, it is adapted to coastal environments."
Medicago arabica,"Medicago arabica, Annual or biennial herbaceous plant native to the Mediterranean region. It is a wild relative of cultivated alfalfa."
Agrostemma githago,"Agrostemma githago, Annual herbaceous plant native to Europe. Commonly known as corncockle, it is grown for its showy flowers."
Acanthochlamys bracteata,"Acanthochlamys bracteata, Perennial herbaceous plant native to China. Commonly known as alpine dock, it is used in traditional medicine."
Inga leiocalycina,"Inga leiocalycina, Evergreen tree native to South America. Commonly known as ice cream bean, it produces edible fruits with sweet pulp."
Aristolochia fimbriata,"Aristolochia fimbriata, Perennial herbaceous plant native to Brazil. Commonly known as Dutchman's pipe, it is grown for its unique flowers."
Quillaja saponaria,"Quillaja saponaria, Evergreen tree native to South America. Commonly known as soapbark tree, it is a source of natural saponins."
Arabidopsis thaliana x Arabidopsis arenosa,"Arabidopsis thaliana x Arabidopsis arenosa, Annual herbaceous plant. It is a hybrid between two Arabidopsis species."
Senna tora,"Senna tora, Perennial herbaceous plant native to Asia. Commonly known as sicklepod, it is used in traditional medicine."
Glebionis coronaria,"Glebionis coronaria, Annual or biennial herbaceous plant native to the Mediterranean region. Commonly known as garland chrysanthemum, it is grown for its edible leaves."
Annona cherimola,"Annona cherimola, Evergreen tree native to South America. Commonly known as cherimoya, it produces sweet, custard-like fruits."
Syzygium aromaticum,"Syzygium aromaticum, Evergreen tree native to Indonesia. Commonly known as clove, it is cultivated for its aromatic flower buds."
Quercus ilex,"Quercus ilex, Evergreen tree native to the Mediterranean region. Commonly known as holm oak, it is valued for its timber."
Buxus sempervirens,"Buxus sempervirens, Evergreen shrub native to Europe, Asia, and Africa. Commonly known as common box, it is used in landscaping."
Berberis vulgaris,"Berberis vulgaris, Deciduous shrub native to Europe. Commonly known as common barberry, it produces red berries and is used in herbal medicine."
Tetracentron sinense,"Tetracentron sinense, Deciduous tree native to East Asia. Commonly known as Chinese hornbeam, it is valued for its timber."
Carex littledalei,"Carex littledalei, Perennial sedge native to Tibet. Commonly found in alpine meadows and rocky slopes."
Rhododendron simsii,"Rhododendron simsii, Evergreen shrub native to East Asia. Known for its showy, fragrant flowers and is a popular ornamental plant."
Spatholobus suberectus,"Spatholobus suberectus, Woody vine native to East Asia. Used in traditional Chinese medicine for its potential health benefits."
Impatiens glandulifera,"Impatiens glandulifera, Annual flowering plant native to the Himalayas. Also known as Himalayan balsam, it is invasive in many regions."
Gossypium australe,"Gossypium australe, Perennial shrub native to Australia. A wild cotton species adapted to arid conditions."
Vaccinium darrowii,"Vaccinium darrowii, Deciduous shrub native to North America. Commonly known as Darrow's blueberry, it produces edible berries."
Rosa lucieae,"Rosa lucieae, Deciduous shrub native to China. Also known as Luo Ying, it is valued for its pink flowers."
Boechera divaricarpa,"Boechera divaricarpa, Perennial herb native to North America. Belongs to the mustard family and is found in rocky habitats."
Melastoma candidum,"Melastoma candidum, Evergreen shrub native to Southeast Asia. Known for its white flowers and is cultivated for ornamental purposes."
Aquilegia kansuensis,"Aquilegia kansuensis, Perennial herb native to China. Commonly known as Gansu columbine, it has distinctive spurred flowers."
Anisodus acutangulus,"Anisodus acutangulus, Perennial herb native to China. Used in traditional medicine, it is toxic and should be handled with care."
Brassica nigra,"Brassica nigra, Annual plant cultivated for its seeds, which are used to produce mustard. Also known as black mustard."
Nepeta tenuifolia,"Nepeta tenuifolia, Perennial herb native to Asia. Commonly known as slender catnip, it is used in traditional medicine."
Sindora glabra,"Sindora glabra, Evergreen tree native to Southeast Asia. Valued for its timber and used in traditional medicine."
Macadamia tetraphylla,"Macadamia tetraphylla, Evergreen tree native to Australia. Commonly known as rough-shelled macadamia, it produces edible nuts."
Cymbidium sinense,"Cymbidium sinense, Epiphytic orchid native to East Asia. Known for its beautiful and long-lasting flowers, it is popular in horticulture."
Mitragyna speciosa,"Mitragyna speciosa, Evergreen tree native to Southeast Asia. Commonly known as kratom, its leaves have psychotropic effects."
Acer negundo,"Acer negundo, Deciduous tree native to North America. Also known as box elder, it is found in various habitats and is tolerant of diverse conditions."
Urochloa ruziziensis,"Urochloa ruziziensis, Perennial grass native to Africa. Commonly known as Ruzi grass, it is cultivated for forage and erosion control."
Gentiana macrophylla,"Gentiana macrophylla, Perennial herb native to Asia. Known for its large blue flowers and is used in traditional medicine."
Litsea cubeba,"Litsea cubeba, Evergreen tree native to East Asia. Also known as may chang, its aromatic fruits are used in the production of essential oils."
Chrysanthemum lavandulifolium,"Chrysanthemum lavandulifolium, Perennial herb native to China. Commonly known as lavender chrysanthemum, it is used in traditional medicine."
Eragrostis curvula,"Eragrostis curvula, Perennial grass native to Africa. Commonly known as weeping lovegrass, it is used for forage and erosion control."
Pugionium cornutum,"Pugionium cornutum, Perennial herb native to Europe. Also known as horned spurge, it has succulent stems and is adapted to dry habitats."
Cucumis hystrix,"Cucumis hystrix, Perennial vine native to Southeast Asia. Known for its spiny fruits and is cultivated for medicinal and culinary purposes."
Solanum lycopersicoides,"Solanum lycopersicoides, Perennial herb native to South America. Wild relative of cultivated tomatoes, it has small yellow fruits."
Dioscorea cayenensis subsp. rotundata,"Dioscorea cayenensis subsp. rotundata, Perennial vine native to West Africa. Commonly known as white yam, it is a major staple food."
Lolium rigidum,"Lolium rigidum, Annual grass native to the Mediterranean region. Commonly known as rigid ryegrass, it is a troublesome weed in crops."
Luffa acutangula,"Luffa acutangula, Annual vine native to Asia. Also known as angled luffa, it produces edible fruits and is cultivated for various uses."
Codonopsis lanceolata,"Codonopsis lanceolata, Perennial herb native to East Asia. Used in traditional Chinese medicine for its potential health benefits."
Ilex asprella,"Ilex asprella, Evergreen shrub native to China. Used in traditional medicine, it is known for its prickly leaves."
Aegilops sharonensis,"Aegilops sharonensis, Perennial grass native to the Middle East. A wild relative of wheat, it is used in breeding programs for crop improvement."
Aeschynomene evenia,"Aeschynomene evenia, Perennial herb native to Madagascar. Known for its nitrogen-fixing ability and is used in agroforestry."
Solanum stenotomum,"Solanum stenotomum, Perennial herb native to South America. Wild relative of cultivated tomatoes, it has small green or yellow fruits."
Capsicum baccatum var. pendulum,"Capsicum baccatum var. pendulum, Perennial shrub native to South America. Known for its small, colorful peppers, it is used in culinary applications."
Raphanus raphanistrum subsp. raphanistrum,"Raphanus raphanistrum subsp. raphanistrum, Annual or biennial plant native to Europe. Commonly known as wild radish, it is a weed in many crops."
Arctium minus,"Arctium minus, Biennial plant native to Europe. Also known as common burdock, it has burrs that cling to fur and clothing."
Musa beccarii,"Musa beccarii, Perennial herb native to Southeast Asia. Wild banana species, it produces inedible fruits."
Poa annua,"Poa annua, Annual grass native to Eurasia. Commonly known as annual bluegrass, it is found in a variety of habitats."
Solanum americanum,"Solanum americanum, Annual or perennial herb native to the Americas. Also known as American black nightshade, it is used in traditional medicine."
Solanum rostratum,"Solanum rostratum, Annual or perennial herb native to the Americas. Also known as buffalobur nightshade, it is invasive in some regions."
Magnolia sinica,"Magnolia sinica, Deciduous tree native to China. Known for its large, fragrant flowers and is cultivated for ornamental purposes."
Euryodendron excelsum,"Euryodendron excelsum, Evergreen tree native to China. Also known as the golden tree, it is valued for its timber."
Gossypium stocksii,"Gossypium stocksii, Perennial shrub native to Africa. Wild cotton species, it is adapted to arid conditions."
Mercurialis annua,"Mercurialis annua, Annual or biennial herb native to Europe. Commonly known as annual mercury, it is found in disturbed habitats."
Rhododendron griersonianum,"Rhododendron griersonianum, Evergreen shrub native to Southeast Asia. Valued for its showy flowers, it is cultivated for ornamental purposes."
Quercus gilva,"Quercus gilva, Evergreen tree native to East Asia. Commonly known as ring-cupped oak, it is found in mountainous regions."
Citrullus mucosospermus,"Citrullus mucosospermus, Annual vine native to Africa. Also known as pie melon, it produces large fruits."
Pterocarpus santalinus,"Pterocarpus santalinus, Deciduous tree native to India. Known for its red heartwood, it is used in woodworking and traditional medicine."
Pulicaria dysenterica,"Pulicaria dysenterica, Perennial herb native to Europe. Also known as common fleabane, it is used in traditional medicine."
Urtica urens,"Urtica urens, Perennial herb native to Eurasia. Commonly known as annual nettle, it has stinging hairs and is used in traditional medicine."
Scutellaria minor,"Scutellaria minor, Perennial herb native to Europe. Commonly known as lesser skullcap, it is used in traditional medicine."
Geum urbanum,"Geum urbanum, Perennial herb native to Europe. Also known as wood avens, it has aromatic roots and is used in herbal teas."
Sambucus nigra,"Sambucus nigra, Deciduous shrub native to Europe. Known for its clusters of black berries, it is used in herbal remedies and beverages."
Chamaenerion angustifolium,"Chamaenerion angustifolium, Perennial herb native to Europe and Asia. Commonly known as fireweed, it is found in disturbed areas."
Przewalskia tangutica,"Przewalskia tangutica, Perennial herb native to China. Also known as Tangut skullcap, it is used in traditional medicine."
Jacaranda mimosifolia,"Jacaranda mimosifolia, Deciduous tree native to South America. Valued for its showy blue flowers, it is planted as an ornamental tree."
Salix dunnii,"Salix dunnii, Deciduous shrub native to China. Also known as Dunn's willow, it is used for erosion control and land reclamation."
Polygonum aviculare,"Polygonum aviculare, Annual or perennial herb native to Eurasia. Commonly known as prostrate knotweed, it is found in various habitats."
Parietaria judaica,"Parietaria judaica, Perennial herb native to Europe. Also known as pellitory of the wall, it is used in traditional medicine."
Dalbergia cochinchinensis,"Dalbergia cochinchinensis, Deciduous tree native to Southeast Asia. Valued for its fragrant wood, it is endangered due to overharvesting."
Misopates orontium,"Misopates orontium, Annual or biennial herb native to Europe. Also known as weasel's snout, it is found in disturbed habitats."
Camelina neglecta,"Camelina neglecta, Annual or biennial plant native to Europe. Commonly known as small-flowered false flax, it is cultivated for oil production."
Trapa bicornis,"Trapa bicornis, Perennial aquatic plant native to Asia. Commonly known as water caltrop, it produces distinctive nut-like fruits."
Telopea speciosissima,"Telopea speciosissima, Evergreen shrub native to Australia. Commonly known as waratah, it has large, showy flowers."
Ballota nigra,"Ballota nigra, Perennial herb native to Europe and Asia. Also known as black horehound, it is used in traditional medicine."
Ligustrum vulgare,"Ligustrum vulgare, Deciduous shrub native to Europe. Commonly known as common privet, it is often planted as a hedge."
Dipteronia dyeriana,"Dipteronia dyeriana, Deciduous tree native to China. Known for its ornamental value, it is planted in gardens and parks."
Gossypium darwinii,"Gossypium darwinii, Perennial shrub native to Australia. Also known as Australian cotton, it is adapted to arid conditions."
Euphrasia confusa,"Euphrasia confusa, Annual herb native to Europe. Commonly known as confused eyebright, it is a small, delicate plant."
Thymus quinquecostatus,"Thymus quinquecostatus, Perennial herb native to China. Belongs to the mint family and is cultivated for its aromatic leaves."
Syzygium malaccense,"Syzygium malaccense, Evergreen tree native to Southeast Asia. Also known as Malay apple, it produces edible fruits."
Ajuga chamaepitys,"Ajuga chamaepitys, Perennial herb native to Europe. Commonly known as yellow bugle, it has spikes of yellow flowers."
Agapanthus africanus,"Agapanthus africanus, Perennial herb native to South Africa. Commonly known as African lily, it has clusters of blue flowers."
Flaveria robusta,"Flaveria robusta, Annual or perennial herb native to North America. Belongs to the aster family and is found in various habitats."
Salicornia ramosissima,"Salicornia ramosissima, Perennial succulent native to Europe. Also known as glasswort, it is adapted to saline environments."
Trifolium fragiferum,"Trifolium fragiferum, Perennial herb native to Europe. Commonly known as strawberry clover, it produces small, strawberry-like fruits."
Dalbergia cultrata,"Dalbergia cultrata, Deciduous tree native to Southeast Asia. Valued for its timber, it is also known as rosewood."
Acer yangbiense,"Acer yangbiense, Deciduous tree native to China. Also known as Yangbi maple, it is cultivated for ornamental purposes."
Avena insularis,"Avena insularis, Annual grass native to the Mediterranean region. Commonly known as island oat, it is found in coastal areas."
Luzula sylvatica,"Luzula sylvatica, Perennial herb native to Europe. Commonly known as woodrush, it is found in woodland habitats."
Elaeagnus macrophylla,"Elaeagnus macrophylla, Deciduous shrub native to China. Known for its silver-scaled leaves, it is cultivated for ornamental purposes."
Inga oerstediana,"Inga oerstediana, Evergreen tree native to Central America. Also known as ice-cream-bean, it produces sweet, edible pulp."
Raphanus raphanistrum x Raphanus sativus,"Raphanus raphanistrum x Raphanus sativus, Hybrid plant resulting from the cross between wild radish and cultivated radish."
Hibiscus tridactylites,"Hibiscus tridactylites, Annual herb native to Africa. Commonly known as three-bracted rose mallow, it has showy flowers."
Pharus latifolius,"Pharus latifolius, Perennial grass native to Asia. Commonly known as broad-leaved bamboo grass, it is found in forests."
Avena atlantica,"Avena atlantica, Annual grass native to the Mediterranean region. Commonly known as Atlantic oat, it is found in coastal areas."
Pseudognaphalium luteoalbum,"Pseudognaphalium luteoalbum, Perennial herb native to North America. Also known as common cudweed, it has woolly leaves."
Agastache rugosa,"Agastache rugosa, Perennial herb native to East Asia. Commonly known as Korean mint, it is cultivated for its aromatic leaves."
Bolboschoenus planiculmis,"Bolboschoenus planiculmis, Perennial herb native to Europe. Also known as flat-sedge, it is found in wetland habitats."
Spergularia bocconei,"Spergularia bocconei, Perennial herb native to Europe. Commonly known as Boccone's sandspurry, it is found in sandy areas."
Primulina tabacum,"Primulina tabacum, Perennial herb native to China. Also known as Chinese primrose, it has tubular flowers."
Trifolium dubium,"Trifolium dubium, Annual or perennial herb native to Europe. Commonly known as lesser trefoil, it has small yellow flowers."
Taxillus chinensis,"Taxillus chinensis, Perennial parasitic plant native to China. Belongs to the mistletoe family and grows on various host trees."
Panax stipuleanatus,"Panax stipuleanatus, Perennial herb native to China. Belongs to the ginseng family and is used in traditional medicine."
Cardamine flexuosa,"Cardamine flexuosa, Perennial herb native to Europe. Commonly known as wavy bittercress, it has white flowers."
Vitellaria paradoxa,"Vitellaria paradoxa, Perennial tree native to West Africa. Also known as shea tree, it produces shea nuts used for shea butter."
Syzygium jambos,"Syzygium jambos, Evergreen tree native to Southeast Asia. Commonly known as rose apple, it produces aromatic fruits."
Aristolochia contorta,"Aristolochia contorta, Perennial vine native to China. Known for its twisted flowers, it is also known as contorted birthwort."
Casuarina cunninghamiana,"Casuarina cunninghamiana, Evergreen tree native to Australia. Also known as river sheoak, it is planted for erosion control."
Nymphaea colorata,"Nymphaea colorata, Aquatic perennial plant native to Southeast Asia. Also known as blue water lily, it has showy flowers."
Chimonanthus salicifolius,"Chimonanthus salicifolius, Deciduous shrub native to China. Known for its fragrant, winter-blooming flowers."
Buddleja alternifolia,"Buddleja alternifolia, Deciduous shrub native to China. Commonly known as alternate-leaved butterfly bush, it has arching branches."
Orychophragmus violaceus,"Orychophragmus violaceus, Perennial herb native to China. Also known as Chinese violet cress, it has violet flowers."
Hemerocallis citrina,"Hemerocallis citrina, Perennial herb native to China. Commonly known as lemon daylily, it has fragrant, lemon-colored flowers."
Comarum palustre,"Comarum palustre, Perennial herb native to Eurasia. Commonly known as marsh cinquefoil, it is found in wetland habitats."
Erysimum cheiranthoides,"Erysimum cheiranthoides, Annual or biennial herb native to Europe. Commonly known as wormseed wallflower, it has yellow flowers."
Acorus gramineus,"Acorus gramineus, Perennial herb native to East Asia. Commonly known as sweet flag, it is found in wetland habitats."
Primulina eburnea,"Primulina eburnea, Perennial herb native to China. Commonly known as ivory primrose, it has showy flowers."
Leptodermis oblonga,"Leptodermis oblonga, Deciduous shrub native to China. Also known as Chinese leptodermis, it has clusters of purple flowers."
Quercus aquifolioides,"Quercus aquifolioides, Evergreen tree native to China. Commonly known as holly oak, it has spiny-toothed leaves."
Asparagus setaceus,"Asparagus setaceus, Perennial vine native to South Africa. Commonly known as common asparagus fern, it is grown as an ornamental plant."
Avena eriantha,"Avena eriantha, Annual grass native to North America. Commonly known as black oat, it is found in grassy habitats."
Pyrus ussuriensis x Pyrus communis,"Pyrus ussuriensis x Pyrus communis, Hybrid resulting from the cross between Ussurian pear and European pear."
Camellia lanceoleosa,"Camellia lanceoleosa, Evergreen tree native to China. Also known as lance-leaved camellia, it has white, fragrant flowers."
Ambrosia x helenae,"Ambrosia x helenae, Hybrid resulting from the cross between Ambrosia trifida and Ambrosia psilostachya."
Flaveria trinervia,"Flaveria trinervia, Perennial herb native to North America. Also known as three-nerved flaveria, it is found in various habitats."
Amaranthus cruentus,"Amaranthus cruentus, Annual herb native to the Americas. Commonly known as purple amaranth, it is cultivated for its edible seeds."
Acer campestre,"Acer campestre, Deciduous tree native to Europe. Also known as field maple, it is planted for its ornamental value."
Gillenia trifoliata,"Gillenia trifoliata, Perennial herb native to North America. Commonly known as Bowman's root, it has white flowers."
Rhododendron ovatum,"Rhododendron ovatum, Evergreen shrub native to North America. Commonly known as California rosebay, it has showy flowers."
Acorus calamus,"Acorus calamus, Perennial herb native to Europe and Asia. Commonly known as sweet flag, it is found in wetland habitats."
Vaccinium myrtillus,"Vaccinium myrtillus, Perennial shrub native to Eurasia. Commonly known as bilberry, it produces edible berries."
Vicia villosa,"Vicia villosa, Annual or perennial herb native to Europe. Also known as hairy vetch, it is grown as a forage crop."
Prunus fruticosa,"Prunus fruticosa, Deciduous shrub native to Europe and Asia. Commonly known as European dwarf cherry, it produces small fruits."
Salix udensis,"Salix udensis, Deciduous shrub native to Japan. Also known as Japanese willow, it is planted for erosion control."
Salix exigua,"Salix exigua, Deciduous shrub native to North America. Commonly known as sandbar willow, it is found in riparian areas."
Salix koriyanagi,"Salix koriyanagi, Deciduous tree native to Korea. Also known as Korean willow, it is planted for soil stabilization."
Corymbia citriodora subsp. variegata,"Corymbia citriodora subsp. variegata, Evergreen tree native to Australia. Also known as lemon-scented gum, it has lemon-scented leaves."
Ficus microcarpa,"Ficus microcarpa, Evergreen tree native to Southeast Asia. Commonly known as Chinese banyan, it is grown as an ornamental plant."
Populus alba x Populus x berolinensis,"Populus alba x Populus x berolinensis, Hybrid resulting from the cross between white poplar and Berlin poplar."
Carpinus fangiana,"Carpinus fangiana, Deciduous tree native to China. Known for its serrated leaves, it is cultivated for ornamental purposes."
Bothriochloa decipiens,"Bothriochloa decipiens, Perennial grass native to Africa. Also known as African bluegrass, it is used for forage and erosion control."
Lycium ferocissimum,"Lycium ferocissimum, Perennial shrub native to Australia. Also known as African boxthorn, it is invasive in some regions."
Glycine latifolia,"Glycine latifolia, Perennial vine native to Australia. Commonly known as broad-leaved glycine, it is used for forage."
Leersia perrieri,"Leersia perrieri, Perennial grass native to Madagascar. Also known as Madagascar rice grass, it is found in wetlands."
Gossypium thurberi,"Gossypium thurberi, Perennial shrub native to North America. Commonly known as Thurber's cotton, it produces cotton fibers."
Gossypium davidsonii,"Gossypium davidsonii, Perennial shrub native to North America. Also known as Davidson's cotton, it is adapted to arid conditions."
Gossypium klotzschianum,"Gossypium klotzschianum, Perennial shrub native to Africa. Commonly known as hairy wild cotton, it is cultivated for fibers."
Gossypium harknessii,"Gossypium harknessii, Perennial shrub native to North America. Also known as Harkness's cotton, it is adapted to arid conditions."
Rhododendron henanense subsp. lingbaoense,"Rhododendron henanense subsp. lingbaoense, Evergreen shrub native to China. Belongs to the heath family and has showy flowers."
Capsicum pubescens,"Capsicum pubescens, Perennial herb native to South America. Also known as rocoto, it is cultivated for its chili peppers."
Knoxia roxburghii,"Knoxia roxburghii, Perennial herb native to Asia. Commonly known as Knoxia, it is used in traditional medicine."
Chenopodium formosanum,"Chenopodium formosanum, Annual herb native to Taiwan. Also known as Taiwanese lambsquarters, it is found in various habitats."
Oldenlandia corymbosa var. corymbosa,"Oldenlandia corymbosa var. corymbosa, Perennial herb native to Asia. Commonly known as corymbose hedyotis, it is used in traditional medicine."
Oenanthe sinensis,"Oenanthe sinensis, Perennial herb native to Asia. Also known as Chinese celery, it is used in culinary dishes."
Thalia dealbata,"Thalia dealbata, Perennial herb native to North America. Also known as powdery alligator-flag, it is found in wetland habitats."
Herpetospermum pedunculosum,"Herpetospermum pedunculosum, Perennial herb native to China. Also known as lizard-seed herb, it has aromatic leaves."
Hippophae gyantsensis,"Hippophae gyantsensis, Deciduous shrub native to China. Also known as giant sea buckthorn, it produces orange berries."
Rhynchospora tenuis,"Rhynchospora tenuis, Perennial herb native to North America. Commonly known as beaked rush, it is found in wetland habitats."
Heracleum sosnowskyi,"Heracleum sosnowskyi, Perennial herb native to Russia. Also known as Sosnowsky's hogweed, it is invasive in some regions."
Costus lasius,"Costus lasius, Perennial herb native to Central America. Belongs to the ginger family and is cultivated for its ornamental flowers."
Chloranthus sessilifolius,"Chloranthus sessilifolius, Perennial herb native to Asia. Commonly known as sessile-flowered chloranthus, it is found in forests."
Cochlearia excelsa,"Cochlearia excelsa, Perennial herb native to Europe. Also known as alpine scurvygrass, it is found in alpine habitats."
Senna siamea,"Senna siamea, Perennial tree native to Southeast Asia. Also known as Siamese cassia, it is planted for timber and shade."
Vitis cinerea var. helleri x Vitis riparia,"Vitis cinerea var. helleri x Vitis riparia, Hybrid resulting from the cross between graybark grape and riverbank grape."
Vitis riparia x Vitis rupestris,"Vitis riparia x Vitis rupestris, Hybrid resulting from the cross between riverbank grape and rock grape."
Rhynchospora pubera,"Rhynchospora pubera, Perennial herb native to North America. Also known as white beakrush, it is found in wetland habitats."
Eucalyptus victrix,"Eucalyptus victrix, Evergreen tree native to Australia. Also known as desert gum, it is cultivated for timber."
Pterocarpus macrocarpus,"Pterocarpus macrocarpus, Deciduous tree native to Southeast Asia. Commonly known as Burma padauk, it has reddish wood."
Rhynchospora breviuscula,"Rhynchospora breviuscula, Perennial herb native to North America. Also known as shortbeak beakrush, it is found in wetland habitats."
Melaleuca quinquenervia,"Melaleuca quinquenervia, Evergreen tree native to Australia. Commonly known as broad-leaved paperbark, it has peeling bark."
Gossypium sturtianum,"Gossypium sturtianum, Perennial shrub native to Australia. Also known as Sturt's desert rose, it produces cotton fibers."
Eucalyptus brandiana,"Eucalyptus brandiana, Evergreen tree native to Australia. Also known as New England blackbutt, it is valued for its timber."
Eucalyptus shirleyi,"Eucalyptus shirleyi, Evergreen tree native to Australia. Also known as Shirleys stringybark, it is used for timber and pulp."
Musa schizocarpa,"Musa schizocarpa, Perennial herb native to Southeast Asia. Also known as wild banana, it produces edible bananas."
Eucalyptus fibrosa,"Eucalyptus fibrosa, Evergreen tree native to Australia. Commonly known as red ironbark, it is valued for its timber."
Eucalyptus sideroxylon x Eucalyptus melliodora,"Eucalyptus sideroxylon x Eucalyptus melliodora, Hybrid resulting from the cross between red ironbark and yellow box."
Thymus mandschuricus,"Thymus mandschuricus, Perennial herb native to East Asia. Commonly known as Manchurian thyme, it is used in traditional medicine and as a culinary herb."
Spirodela intermedia,"Spirodela intermedia, Floating aquatic plant found globally. Commonly known as giant duckweed, it is a small flowering plant that floats on still water."
Eucalyptus regnans,"Eucalyptus regnans, Tall, fast-growing evergreen tree native to Australia. Commonly known as mountain ash, it is one of the tallest tree species in the world."
Eucalyptus sideroxylon,"Eucalyptus sideroxylon, Evergreen tree native to Australia. Commonly known as red ironbark, it is valued for its hard, durable timber."
Eucalyptus caleyi,"Eucalyptus caleyi, Evergreen tree native to Australia. Commonly known as red gum, it is valued for its timber and is used in landscaping."
